Position_X1,Position_Y1,Position_X2,Position_Y2,Position_X3,Position_Y3,Velocity_X1,Velocity_Y1,Velocity_X2,Velocity_Y2,Velocity_X3,Velocity_Y3,Momentum_X1,Momentum_Y1,Momentum_X2,Momentum_Y2,Momentum_X3,Momentum_Y3
99687145829.96555,12886894926.703487,-99999999053.14456,-12899999949.392006,8396809627.020738,149695212393.04413,-1417.1799106318886,29910.993735290132,0.004288348919969076,-29999.999682887126,19100.060213325392,-1349.919272428059,-8.463398426293639e+27,1.7862845458715267e+29,8.529526001818492e+27,-5.966999936926249e+34,1.40347242447515e+27,-9.919206813801377e+25
99672649268.04189,13185962925.34589,-99999999009.27884,-13199999946.08427,8587617396.475171,149681423948.85034,-1449.6561923663824,29906.799864240253,0.004386571790276953,-29999.999669226385,19080.776945443355,-1378.8444193801402,-8.657346780812036e+27,1.786034087892428e+29,8.724891290860859e+27,-5.966999934209127e+34,1.4020554899511775e+27,-1.013174879360527e+26
99657828272.62178,13484988051.381685,-99999998964.4319,-13499999942.637161,8778233010.344444,149667347268.81635,-1482.099542011022,29902.512603579544,0.004484693280129916,-29999.99965528899,19061.56138692735,-1407.668003399034,-8.851098464889825e+27,1.7857780526857706e+29,8.920054934178403e+27,-5.966999931436979e+34,1.4006435307114217e+27,-1.0343544488976101e+26
99642683180.05116,13783969373.703278,-99999998918.60478,-13799999939.047918,8968657141.48582,149652983362.21683,-1514.5092570614795,29898.132232159256,0.004582711295899609,-29999.999641075756,19042.413114137657,-1436.3906599527488,-9.044649283171156e+27,1.7855164569045507e+29,9.115012767544323e+27,-5.966999928609968e+34,1.399236515626835e+27,-1.0554598569332798e+26
99627214333.66429,14082905964.047194,-99999998871.79854,-14099999935.313793,9158890458.558067,149638333232.0286,-1546.8846386874802,29893.659034391596,0.004680623754849054,-29999.999626587516,19023.33170722464,-1465.0130188242529,-9.237995062241632e+27,1.785249317533866e+29,9.309760648394767e+27,-5.966999925728256e+34,1.3978344138468664e+27,-1.076491566232061e+26
99611422083.74629,14381796897.049187,-99999998824.01425,-14399999931.432045,9348933626.058914,149623397874.98682,-1579.2249918006855,29889.093300199267,0.004778428585338095,-29999.99961182512,19004.316750084716,-1493.5357041775094,-9.431131651033694e+27,1.7849766518879004e+29,9.504294456237471e+27,-5.966999922792016e+34,1.3964371947962248e+27,-1.0974500354296339e+26
99595306787.49507,14680641250.298828,-99999998775.25302,-14699999927.399939,9538787304.362083,149608178281.6406,-1611.5296251216475,29884.43532496416,0.004876123727026038,-29999.999596789425,18985.367830316976,-1521.9593346225695,-9.624054921226479e+27,1.7846984776068597e+29,9.698610093054789e+27,-5.966999919801416e+34,1.3950448281716912e+27,-1.118335719080664e+26
99578868808.98262,14979438104.393581,-99999998725.51595,-14999999923.214752,9728452149.753887,149592675436.4078,-1643.7978512458274,29879.685409475238,0.004973707131071446,-29999.999581481316,18966.484539180397,-1550.2845232797388,-9.816760767640081e+27,1.7844148126538613e+29,9.892703483701106e+27,-5.966999916756633e+34,1.3936572839389756e+27,-1.139149067705952e+26
99562108519.11554,15278186542.992338,-99999998674.80418,-15299999918.87377,9917928814.469404,149576890317.62936,-1676.0289867086599,29874.843859875604,0.00507117676032906,-29999.999565901686,18947.666471551667,-1578.5118778428334,-1.0009245108624117e+28,1.784125675311771e+29,1.00865705762945e+28,-5.966999913657845e+34,1.3922745323296166e+27,-1.159890527838914e+26
99545026295.59505,15576885652.868425,-99999998623.11888,-15599999914.374285,10107217946.728241,149560823897.62296,-1708.2223520496557,29869.910987608804,0.0051685305895437985,-29999.999550051452,18928.913225883625,-1606.6420006415403,-1.0201503886440545e+28,1.783831084179998e+29,1.0280207342602615e+28,-5.966999910505234e+34,1.3908965438379286e+27,-1.1805605420714039e+26
99527622522.8763,15875534523.962069,-99999998570.46121,-15899999909.7136,10296320190.769884,149544477142.73593,-1740.3772718755256,29864.88710936436,0.005265766605541804,-29999.999533931543,18910.224404164266,-1634.6754887028985,-1.039353306764064e+28,1.7835310581712396e+29,1.0473609778422649e+28,-5.966999907298984e+34,1.38952328921799e+27,-1.2011595490988898e+26
